DYS19	DYS389I	DYS389II	DYS390	DYS391	DYS392	DYS393	DYS437	DYS438	DYS439	n
15	12	29	22	10	11	13	16	10	11	2
15	13	29	22	10	11	13	16	10	11	2
15	13	31	24	11	11	13	15	10	14	1
15	11	27	22	10	12	12	16	10	11	1
15	13	29	23	10	11	12	16	10	11	1
15	14	31	24	10	12	14	15	10	11	1
15	13	30	23	10	12	15	14	10	11	1
15	12	28	23	10	11	12	16	9	12	1
15	12	29	24	10	11	12	16	9	11	1
15	14	32	23	10	12	13	14	10	11	1
15	13	30	23	10	12	14	14	10	11	1
15	14	32	23	10	12	14	14	10	11	1
15	13	30	25	11	11	13	14	11	10	1
16	13	30	24	10	11	13	14	11	10	1
16	13	30	24	11	11	13	14	11	10	1
16	13	30	25	10	11	13	14	11	10	1
16	13	30	25	10	11	13	14	11	11	3
16	13	30	25	10	11	13	14	11	12	1
16	14	30	25	10	11	13	14	11	11	1
16	14	31	25	10	11	13	14	11	11	2
16	13	29	24	11	11	13	14	11	11	1
16	13	31	26	10	11	13	14	11	11	1
16	13	29	25	10	11	13	14	11	11	1
16	13	28	23	10	12	14	16	10	13	1
16	14	31	22	10	12	15	14	10	11	1
16	14	33	23	10	12	15	14	10	11	1
16	14	30	23	10	12	15	14	10	11	1
16	12	28	24	10	11	12	16	9	12	1
17	13	30	25	10	11	13	14	11	11	1
17	13	30	25	11	11	13	14	11	11	1
17	12	29	25	11	11	14	15	10	11	1
